Name,"Short Name"
VideoSlots,videoslots
"Frank & Fred",frankfred
Rolla,rolla
Mobil6000,mobil6000
"Just Casino",justcasino
"Planet Fruity",planetfruity
Slotsino,slotsino
CasinoGB,casinogb
NYspins,nyspins
NordicBet,nordicbet
"Genesis Casino",genesis
22BET,22bet
10Bet,10bet
EuroSlots,euroslots
"La Fiesta",lafiesta
"Spin Rider",spinrider
SuperLenny,superlenny
"Ikibu Casino",ikibu
Dunder,dunder
Sloty,sloty
"Slots Magic",slotsmagic
Highroller,highroller
Lapalingo,lapalingo
"Cabaret Club",cabaretclub
"Cadoola Casino",cadoolacasino
Spinson,spinson
CasinoCasino,casinocasino
"32Red Casino",32red
"Yako Casino",yakocasino
EUcasino,eucasino
"Vinnare Casino",vinnare
"Spin Palace",spinpalace
Sparkleslots,sparkleslots
Bluefox,bluefox
"Goliath Casino",goliathcasino
"Agent Spinner",agentspinner
"Fun Casino",funcasino
Betspin,betspin
CasinoRoom,casinoroom
"Guts Casino",guts
777,777com
DrückGlück,drueckglueck
"Vegas Casino",vegascasino
"Karl Casino",karlcasino
"7 Gods",7gods
"Buran Casino",burancasino
"Ninja Casino",ninjacasino
Casinostugan,casinostugan
Mobilautomaten,mobilautomaten
Folkeautomaten,folkeautomaten
mobilbet,mobilbet
ComeOn!,comeon
"Get Lucky",getlucky
Mobilebet,mobilebet
"Alf Casino",alfcasino
CampeonBet,campeonbet
Chanz,chanz
"Speedy Casino",speedycasino
Brightstar,brightstar
"Hajper Casino",hajper
Sverigeautomaten,sverigeautomaten
Legolas,legolas
"Euro Palace",europalace
"Red Spins",redspins
"Bonanza Game",bonanzagame
"Zodiac Casino",zodiac
"BoaBoa Casino",boaboacasino
"King Billy Casino",kingbilly
21.com,21com
"Dreamz Casino",dreamz
Duelz,duelzcasino
"Casino Club",casinoclub
Betfair,betfair
Spela,spela
"Ahti Casino",ahticasino
"Barbados Casino",barbados
"Casino Superlines",superlines
Spellandet,spellandet
Betreels,betreels
MyChance,mychance
"Kahuna Casino",kahuna
"Casino Joy",casinojoy
"Vegas Baby",vegasbaby
"The Gold Lounge",cheekyriches
"No Account Casino",noaccountcasino
Bitstarz,bitstarz
TempleNile,templenile
"Bajungo Casino",bajungo
"Premier Live Casino",premierlivecasino
EvoBet,evobet
Svenbet,svenbet
"Royal Vegas",royalvegas
"Roxy Palace",roxypalace
"River Belle",riverbelle
"Casino Red Kings",redkings
"Platinum Play Casino",platinumplay
"Ruby Fortune",rubyfortune
"Untold Casino",untold
"Casino Big Apple",bigapple
Mansion,mansion
"LuckyNiki Casino",luckyniki
"Kaiser Slots Casino",kaiserslots
InterCasino,intercasino
"LVbet Casino",lvbet
Vulkanbet,vulkanbet
Spinia,spiniacasino
Schnellwetten,schnellwetten
"Prank Casino",prankcasino
GutsXpress,gutsxpress
Librabet,librabet
"Karjala Kasino",karjalakasino
"Playzee Casino",playzee
Pelaa,pelaa
Wishmaker,wishmaker
"Casiplay Casino",casiplay
"Hyper Casino",hyper
FastBet,fastbet
Pixel.bet,pixelbet
"Spin Station X",spinstationx
Expekt,expekt
"GoGo Casino",gogo_casino
"MamaMia Bingo",mamamia
Bingo.com,bingocom
"Bertil Casino",bertil
"Lucky Casino",luckycasino
"Hello Casino",hellocasino
"Happy Hugo",happyhugo
Gratorama,gratorama
Fantasino,fantasino
Casilando,casilando
"21 Casino",21casino
WinsPark,winspark
"Gale & Martin",gale__martin
"vegas paradise",vegasparadise
"Madame Chance",madamechance
Multilotto,multilotto
"Yeti Casino",yeti
Lottoland,lottoland
AhaBingo,ahabingo
SwedenCasino,swedencasino
MoboCasino,mobocasino
Casonic,casonic
Bet365,bet365
"Anna Casino",annacasino
Turbico,turbicocasino
"Mango Casino",mangocasino
TurboVegas,turbovegas
"Casino Gods",casinogods
"Casino Royale500",royale500
InAndOutBet,inout_bet
NoAccountBet,noaccountbet
Gate777,gate777
LegolasBet,casino_legolasbet
"Gday casino",gday_casino
SpeedyBet,speedybet
Coolbet,coolbet
"William Hill",williamhill
Superlottoclub,superlottoclub
"Hopa Casino",hopa
NightRush,nightrush
"Nano casino",nano_casino
"In&Out Casino",inout_casino
Svenplay,svenplay
"No Bonus Casino",nobonuscasino
